#TID	Name	Employment	Rate	YTD	Start	End	Hours	Deduction
216	C, D	Salaried	$52000	$750	2013-01-07	2013-01-13	45	$200
11	A, B	Salaried	$52000	$0	2013-01-07	2013-01-13	40	$100
113	Smith, Hourly	Hourly	$20.00	$0.00	2013-01-07	2013-01-13	40	$50.00
311	Jones, Timeandhalf	Hourly	$20.00	$400.00	2013-01-07	2013-01-13	42	$50.00
211	Davids, Double	Hourly	$20.00	$400.00	2013-01-07	2013-01-13	45	$100.00
131	Wang, Timeandhalf	Hourly	$20.00	$400.00	2013-01-07	2013-01-13	42.5	$50.50
497	Harrison, George	Hourly	$17.00	$100.00	2013-01-07	2013-01-13	37.5	$0.00
2993	Hamilton, Roger	Hourly	$18.36	$700.39	2013-01-07	2013-01-13	41.75	$23.90
1003	May, Low	Hourly	$16.01	$99.50	2013-01-07	2013-01-13	40	$55.00
2222	Eee, Ff	Salaried	$100000	$10000	2013-01-07	2013-01-13	49	$100.00
2322	Gfff, Hhhh	Hourly	$22.00	$10000	2013-01-07	2013-01-13	38	$10.00
2422	Iii, Jjjj	Salaried	$80000	$11000	2013-01-07	2013-01-13	40	$200.00
2252	Kkkk, Lllllll	Salaried	$150000	$30000	2013-01-07	2013-01-13	40	$420.00
1226	Mm, Nnnn	Hourly	$15.25	$0	2013-01-07	2013-01-13	22	$0.00
2326	Oooo, Pp	Hourly	$50.00	$111000	2013-01-07	2013-01-13	40	$0.00
2246	Qqqqqq, Rrrr	Salaried	$78000	$9000	2013-01-07	2013-01-13	40	$655.00
2726	Sssss, Tttt	Salaried	$32000	$0	2013-01-07	2013-01-13	40	$76.00
2926	Uuuu, Vvvvv	Hourly	$32.00	$1000	2013-01-07	2013-01-13	40	$15.00
351	Jones, Xxxxx	Hourly	$20.00	$400.00	2013-01-07	2013-01-13	42	$50.00
219	YYYY, Zzz	Hourly	$20.00	$400.00	2013-01-07	2013-01-13	45	$100.00
2553	Hamilton, George	Salaried	$23000	$700.39	2013-01-07	2013-01-13	41.75	$23.90
220	Gggf, Ff	Salaried	$100000	$10000	2013-01-07	2013-01-13	49	$100.00
217	Cccc, Ddd	Salaried	$52000	$750	2013-01-07	2013-01-13	45	$200
232	Ggggg, Kkkk	Hourly	$22.00	$10000	2013-01-07	2013-01-13	38	$100.00
